state,harvest_year,production_thousand_tonnes
Acre,2019/2020,0.0
Alagoas,2019/2020,16972.203
Amazonas,2019/2020,290.448
Bahia,2019/2020,4104.969
Ceará,2019/2020,0.0
Espírito Santo,2019/2020,2883.95
Goiás,2019/2020,75267.682
Maranhão,2019/2020,2338.551
Mato Grosso,2019/2020,17657.668
Mato Grosso do Sul,2019/2020,47514.977
Minas Gerais,2019/2020,68195.392
Pará,2019/2020,1194.952
Paraíba,2019/2020,6599.347
Paraná,2019/2020,34213.95
Pernambuco,2019/2020,12519.634
Piauí,2019/2020,1249.037
Rio de Janeiro,2019/2020,845.834
Rio Grande do Norte,2019/2020,2781.391
Rio Grande do Sul,2019/2020,30.957
Rondônia,2019/2020,86.419
Santa Catarina,2019/2020,0.0
São Paulo,2019/2020,343750.456
Sergipe,2019/2020,1947.351
Tocantins,2019/2020,2241.059
Acre,2020/2021,0.0
Alagoas,2020/2021,17036.279
Amazonas,2020/2021,281.508
Bahia,2020/2021,4459.871
Ceará,2020/2021,0.0
Espírito Santo,2020/2021,2655.223
Goiás,2020/2021,74011.271
Maranhão,2020/2021,2427.392
Mato Grosso,2020/2021,16773.196
Mato Grosso do Sul,2020/2021,48803.899
Minas Gerais,2020/2021,70837.781
Pará,2020/2021,1036.367
Paraíba,2020/2021,6242.094
Paraná,2020/2021,34790.081
Pernambuco,2020/2021,11827.358
Piauí,2020/2021,1177.316
Rio de Janeiro,2020/2021,1083.303
Rio Grande do Norte,2020/2021,3067.771
Rio Grande do Sul,2020/2021,0.0
Rondônia,2020/2021,0.0
Santa Catarina,2020/2021,0.0
São Paulo,2020/2021,356507.515
Sergipe,2020/2021,2243.556
Tocantins,2020/2021,2170.964
